date,vwretd,ewretd,sprtrn
1990-07-17,-0.004129,-0.002791,-0.003876
1990-07-18,-0.008366,-0.003414,-0.008979
1990-07-19,0.001465,-0.002016,0.00302
1990-07-20,-0.007857,0.000337,-0.010156
1990-07-23,-0.018045,-0.016855,-0.017422
1990-07-24,0.000487,-0.000559,0.001351
1990-07-25,0.003915,0.004958,0.003654
1990-07-26,-0.002186,0.001616,-0.003304
1990-07-27,-0.006223,-0.002834,-0.00694
1990-07-30,0.002878,-0.004053,0.00597
1990-07-31,0.001627,-0.000419,0.001688
1990-08-01,-0.00143,-0.00338,-0.001769
1990-08-02,-0.011008,-0.008676,-0.011364
1990-08-03,-0.017805,-0.018668,-0.018835
1990-08-06,-0.031547,-0.025058,-0.030244
1990-08-07,0.002031,0.001874,0.001196
1990-08-08,0.010736,0.007123,0.010513
1990-08-09,0.005941,0.006207,0.004699
1990-08-10,-0.010886,-0.004322,-0.013002
1990-08-13,0.006974,-0.002921,0.009895
1990-08-14,0.002559,0.002934,0.001623
1990-08-15,0.002844,0.002752,0.001974
1990-08-16,-0.020331,-0.011029,-0.022555
1990-08-17,-0.014445,-0.014395,-0.013719
1990-08-20,-0.00083,-0.006045,0.002074
1990-08-21,-0.019042,-0.018484,-0.020243
1990-08-22,-0.014791,-0.009425,-0.016498
1990-08-23,-0.031435,-0.032661,-0.02998
1990-08-24,0.013849,0.007588,0.014492
1990-08-27,0.030534,0.02257,0.031877
1990-08-28,0.000968,0.002874,-0.000311
1990-08-29,0.007242,0.003257,0.008869
1990-08-30,-0.013141,-0.001865,-0.016904
1990-08-31,0.009347,0.00436,0.01208
1990-09-04,0.000922,-0.002752,0.001643
1990-09-05,0.003995,0.003892,0.004024
1990-09-06,-0.009701,-0.003662,-0.012115
1990-09-07,0.007489,0.004157,0.009174
1990-09-10,-0.003173,0.00034,-0.005473
1990-09-11,-0.001574,-0.001895,-0.001834
1990-09-12,0.003115,0.000876,0.004672
1990-09-13,-0.010234,-0.004936,-0.012061
1990-09-14,-0.005623,-0.003353,-0.005712
1990-09-17,0.002192,-0.001783,0.002967
1990-09-18,0.001077,-0.004385,0.002612
1990-09-19,-0.004999,-0.001525,-0.006277
1990-09-20,-0.015243,-0.010107,-0.016172
1990-09-21,-0.001751,-0.003867,-0.000514
1990-09-24,-0.020551,-0.020215,-0.021618
