permno,ticker,comnam
12591,APO,APOLLO GLOBAL MANAGEMENT INC NEW
12618,,INTERTYPE CORP
12622,HCA,H C A HEALTHCARE INC
12623,HII,HUNTINGTON INGALLS INDS INC
12626,JWL,JEWEL COMPANIES INC
12650,KSU,KANSAS CITY SOUTHERN
12669,KYR,KAYSER ROTH CORP
12706,KN,KENNECOTT CORP
12730,KRA,KRAFT INC
12749,KM,K MART CORP
12757,KSC,KRESS S H & CO
12781,SR,SPIRE INC
12810,LV,LEHIGH VALLEY RR CO
12837,LGT,LIGGETT GROUP INC
12872,MPC,MARATHON PETROLEUM CORP
12888,LCE,LONE STAR INDUSTRIES INC
12896,LL,LORILLARD CORP
12909,LN,LOUISVILLE & NASHVILLE RR CO
12933,MEI,M E I DIVERSIFIED INC
12941,MQ,MACK TRUCKS INC
12976,MZ,MACY R H & CO INC
12981,FBIN,FORTUNE BRANDS INNOVATIONS INC
13004,,MANATI SUGAR CO
13012,MHT,MANHATTAN INDUSTRIES INC
13035,XYL,XYLEM INC
13056,AM,AMERICAN GREETINGS CORP
13063,M,MARCOR INC
13100,MAY,MAY DEPARTMENT STORES CO
13119,MYG,MAYTAG CORP
13141,WPX,W P X ENERGY INC
13143,GRH,M G M GRAND HOTELS INC
13151,,MIAMI COPPER CO
13168,TRIP,TRIPADVISOR INC
13207,KT,MISSOURI KANSAS TEXAS RR CO
13210,EPAM,EPAM SYSTEMS INC
13274,MRW,MOTOR WHEEL CORP
13290,WEAR,PREMIUMWEAR INC
13303,NL,N L INDUSTRIES INC
13311,NAB,NABISCO INC
13323,ENPH,ENPHASE ENERGY INC
13354,CUE,QUANTUM CHEMICAL CORP
13356,PSX,PHILLIPS 66
13362,,NATIONAL PWR & LT CO
13370,NTY,NATIONAL TEA CO
13389,,NATIONAL SUPPLY CO PA
13407,META,META PLATFORMS INC
13434,CN,NEW YORK CENT RR CO
13442,NKP,NEW YORK CHICAGO & ST LOUIS RR
13447,NOW,SERVICENOW INC
13511,PANW,PALO ALTO NETWORKS INC
13522,NFK,NORFOLK & WESTERN RAILWAY CO
13549,,NORTH AMERICAN CO
13565,NTS,NORTH AMERICAN SUGAR INDS INC
13567,ADT,A D T CORP
13573,NP,NORTHERN PACIFIC RAILWAY CO
13598,KRFT,KRAFT FOODS GROUP INC
13610,OLN,OLIN CORP
13628,WDAY,WORKDAY INC
13637,OT,OTIS ELEVATOR CO
13641,FANG,DIAMONDBACK ENERGY INC
13661,OI,OWENS ILLINOIS INC
13688,PCG,P G & E CORP
13696,PAC,PACIFIC TELEPHONE & TELEG CO
13721,ABBV,ABBVIE INC
13788,ZTS,ZOETIS INC
13792,PC,PENN CENTRAL CO
13805,PFK,PENICK & FORD LTD
13821,PGL,PEOPLES ENERGY CORP
13856,PEP,PEPSICO INC
13864,,PERE MARQUETTE RY CO
13901,MO,ALTRIA GROUP INC
13911,IQV,IQVIA HOLDINGS INC
13928,COP,CONOCOPHILLIPS
13936,PVH,P V H CORP
13949,CDW,C D W CORP NEW
13963,NWSA,NEWS CORP NEW
13964,NWS,NEWS CORP NEW
13983,COTY,COTY INC
14008,AMGN,AMGEN INC
14058,,PUBLIC SVC CORP
14066,PU,PULLMAN INC
14090,RCA,R C A CORP
14154,RDGE,READING ENTERTAINMENT INC
14189,RS,REPUBLIC STEEL CORP
14218,RJR,R J R NABISCO INC
14250,SJO,ST JOE MINERALS CORP
14295,TWTR,TWITTER INC
14314,,SEABOARD OIL CO
14322,S,SEARS ROEBUCK & CO
14323,ANDW,ANDREW CORP
14338,HLT,HILTON WORLDWIDE HOLDINGS INC
14357,SUO,SHELL OIL CO
14402,SIM,SIMMONS CO
14429,L,SINCLAIR OIL CORP
14461,SNSTA,SONESTA INTERNATIONAL HOTELS CP
14488,PSU,SOUTH P R SUGAR CO
14496,SX,SOUTHERN PACIFIC CO
14509,SR,SOUTHERN RAILWAY CO
14525,SY,SPERRY CORP
14533,SB,STANDARD BRANDS INC
14541,CVX,CHEVRON CORP NEW
14542,GOOG,ALPHABET INC
14568,,STANDARD GAS & ELEC CO
14579,PAYC,PAYCOM SOFTWARE INC
14592,STY,STERLING DRUG INC
14593,AAPL,APPLE INC
14601,NAVI,NAVIENT CORP
14605,STX,STEWART WARNER CORP
14613,SK,STUDEBAKER CORP
14656,SUN,SUNOCO INC
14664,SUS,SUNSHINE BISCUITS INC
14699,SZ,SYMINGTON WAYNE CORP
14702,AMAT,APPLIED MATERIALS INC
14714,ANET,ARISTA NETWORKS INC
14728,TCC,TENNESSEE CORP
14736,TX,TEXACO INC
14760,TG,TEXASGULF INC
14763,CTLT,CATALENT INC
14776,SYF,SYNCHRONY FINANCIAL
14779,TS,TEXAS PAC COAL & OIL CO
14795,TKR,TIMKEN CO
14816,TR,TOOTSIE ROLL INDS INC
14832,,TRANS UTD INDS INC
14859,TF,TWENTIETH CENTURY FOX FILM CORP
14867,UV,U V INDUSTRIES INC
14875,UNX,UNDERWOOD CORP
14882,CZR,CAESARS ENTERTAINMENT INC DE
14883,UCC,UNION CAMP CORP
14889,CFG,CITIZENS FINANCIAL GROUP INC
14891,UCL,UNOCAL CORP
14904,UP,UNION PACIFIC RAILROAD CO
14912,R,UNIROYAL INC
14939,KEYS,KEYSIGHT TECHNOLOGIES INC
14955,CQB,CHIQUITA BRANDS INTL INC
15042,USL,UNITED STS LINES CO N V
15069,MRO,MARATHON OIL CORP
15077,UST,U S T INC
15085,,UNITED STS HOFFMAN MACHY CORP
15149,VCA,VANADIUM CORP AMER
15157,VRT,VAN RAALTE CO
15165,VC,VIRGINIA CAROLINA CHEM CORP
15202,VMC,VULCAN MATERIALS CO
15237,WW,WALWORTH CO
15272,SEDG,SOLAREDGE TECHNOLOGIES INC
15291,ETSY,ETSY INC
15315,GDDY,GODADDY INC
15317,WMRY,WESTERN MARYLAND RY CO
15325,NVL,NEW VALLEY CORP
15341,WK,WESTINGHOUSE AIR BRAKE CO
15368,CBS,C B S CORP
15401,BXLT,BAXALTA INC
15404,CPGX,COLUMBIA PIPELINE GROUP INC
15408,KHC,KRAFT HEINZ CO
15448,WIL,WILSON & CO INC
15456,FL,FOOT LOCKER INC
15464,WTH,WORTHINGTON CORP
15472,WWY,WRIGLEY WILLIAM JR CO
15480,YAT,YALE & TOWNE MFG CO
15488,PYPL,PAYPAL HOLDINGS INC
15499,YB,YOUNGSTOWN SHEET & TUBE CO
15528,CV,COMMERCIAL SOLVENTS CORP
15536,ICR,ISLAND CREEK COAL CO
15544,MS,MCCRORY CORP
15553,GAS,A G L RESOURCES INC
15560,RSH,RADIOSHACK CORP
15579,TXN,TEXAS INSTRUMENTS INC
15659,UK,UNION CARBIDE CORP
15667,WYE,WYETH
15704,,AMERICAN PWR & LT CO
15707,HPE,HEWLETT PACKARD ENTERPRISE CO
15712,CK,COLLINS & AIKMAN CORP
15719,FCPT,FOUR CORNERS PROPERTY TRUST INC
15720,EIX,EDISON INTERNATIONAL
15747,IK,INTERLAKE CORP
15763,AMF,A M F INC
15797,CSRA,C S R A INC
15819,CI,CONTINENTAL BAKING CO
15835,CD,CANADA DRY CORP
15843,ABA,AMERICAN BAKERIES CO
15850,MTCH,MATCH GROUP INC NEW
15915,CSCS,CONTINENTAL STEEL CORP DE
15966,MOB,MOBIL CORP
15974,ABG,AMERICAN SHIP BLDG CO
15980,UA,UNDER ARMOUR INC
16029,DN,DIAMOND INTERNATIONAL CORP
16044,NGVT,INGEVITY CORP
16087,FTV,FORTIVE CORP
16088,WSW,WHITE CONSOLIDATED INDS INC
16109,GF,GENERAL FOODS CORP
16176,,COMMONWEALTH PWR CORP
16205,TV,TIDEWATER OIL CO
16256,NAS,CONDE NAST PUBNS INC
16267,DVMT,DELL TECHNOLOGIES INC
16276,ASIX,ADVANSIX INC
16279,VSM,VERSUM MATERIALS INC
16280,KW,KELSEY HAYES CO
16336,IQ,QUESTOR CORP
16343,YUMC,YUM CHINA HOLDINGS INC
16344,TMC,THATCHER GLASS MFG CO
16347,AA,ALCOA CORP
16360,PSY,PILLSBURY CO
16424,G,GILLETTE CO
16431,LW,LAMB WESTON HOLDINGS INC
16432,GT,GOODYEAR TIRE & RUBBER CO
16544,BIVV,BIOVERATIV INC
16571,BN,BORDEN INC
16598,GK,G K TECHNOLOGIES INC
16600,HSY,HERSHEY CO
16619,KBR,KEEBLER CO
16651,BCW,BECOR WESTERN INC
16678,KR,KROGER CO
16686,MLL,MC CALL CORP
16692,IR,INGERSOLL RAND INC
16707,MAN,MANVILLE CORP
16723,CNR,CONTAINER CORP AMER
16731,LPT,LEHIGH PORTLAND CEM CO
16736,VST,VISTRA CORP
16758,CH,CUTLER HAMMER INC
16803,NAC,NATIONAL CAN CORP
