date,long_ret,short_ret,raw_ret,net_ret,n_stocks
1992-12-17,0.0233766,0.004159899999999999,0.019216700000000003,0.0172167,493
1992-12-18,-0.009209,-0.0070078,-0.0022012000000000004,-0.0042012,493
1992-12-21,-9.069999999999998e-05,-0.0011105000000000004,0.0010198000000000004,-0.0009801999999999996,493
1992-12-22,0.0458787,0.008654100000000001,0.0372246,0.035224599999999995,493
1992-12-23,0.0005585000000000002,0.0044876,-0.0039291,-0.0059291,493
1992-12-24,0.005730699999999999,-0.006364299999999999,0.012094999999999998,0.010094999999999998,493
1992-12-28,0.007243100000000001,0.0035761,0.0036670000000000006,0.0016670000000000005,493
1992-12-29,0.005488000000000001,-0.0067164,0.0122044,0.0102044,493
1992-12-30,0.004675300000000001,0.009838900000000001,-0.0051636,-0.0071636,493
1992-12-31,-0.0044028999999999995,-0.024645399999999998,0.020242499999999997,0.018242499999999995,493
1993-01-04,-0.007735499999999999,-0.0206587,0.0129232,0.0109232,493
1993-01-05,0.0076172,0.0124893,-0.0048721,-0.0068721,493
1993-01-06,-0.0047768,0.002106600000000001,-0.006883400000000001,-0.008883400000000001,493
1993-01-07,0.0028926999999999994,0.0018022000000000003,0.001090499999999999,-0.000909500000000001,493
1993-01-08,0.0093504,-0.0046016,0.013951999999999999,0.011951999999999999,493
1993-01-11,0.006646000000000001,-0.0013716999999999996,0.008017700000000001,0.006017700000000001,493
1993-01-12,0.013946400000000001,0.004852100000000001,0.0090943,0.0070942999999999996,493
1993-01-13,0.0202134,0.008657100000000001,0.011556299999999999,0.009556299999999998,493
1993-01-14,0.006707699999999999,0.0042521,0.0024555999999999988,0.0004555999999999987,493
1993-01-15,0.0005141999999999996,0.0043213,-0.0038071000000000008,-0.005807100000000001,493
1993-01-18,0.0082357,0.019451799999999998,-0.011216099999999998,-0.013216099999999998,493
1993-01-19,0.0088232,-0.001813,0.0106362,0.0086362,493
1993-01-20,0.019591999999999995,-0.007567300000000001,0.027159299999999997,0.025159299999999996,493
1993-01-21,-0.0022764,-0.0038203999999999994,0.0015439999999999994,-0.0004560000000000007,494
1993-01-22,0.017828599999999997,0.016614000000000004,0.0012145999999999928,-0.0007854000000000073,494
1993-01-25,0.008335500000000001,-0.0183168,0.026652300000000004,0.024652300000000002,494
1993-01-26,-0.0033607,-0.007573099999999999,0.0042124,0.0022124,494
1993-01-27,-0.008816899999999999,-0.0021573999999999994,-0.0066595,-0.0086595,494
1993-01-28,0.004844499999999997,-8.550000000000015e-05,0.004929999999999998,0.0029299999999999977,494
1993-01-29,0.020822999999999998,0.0083021,0.012520899999999998,0.010520899999999998,494
1993-02-01,0.0041145,-0.0085725,0.012687,0.010687,494
1993-02-02,0.0040177,0.011809400000000001,-0.007791700000000001,-0.0097917,494
1993-02-03,0.0021215,0.013144800000000002,-0.011023300000000002,-0.013023300000000002,494
1993-02-04,-0.0187803,-0.021842,0.0030617000000000005,0.0010617000000000005,494
1993-02-05,-0.006651699999999999,-0.005445500000000001,-0.0012061999999999984,-0.0032061999999999985,494
1993-02-08,-0.0063892,-0.0125276,0.0061384,0.0041383999999999995,494
1993-02-09,0.0028711,0.0040007,-0.0011296000000000001,-0.0031296,494
1993-02-10,0.0105319,-0.010215100000000001,0.020747,0.018747,494
1993-02-11,-0.0075120000000000004,-0.012993000000000001,0.005481000000000001,0.0034810000000000006,494
1993-02-12,-0.035997600000000005,-0.0192149,-0.016782700000000005,-0.018782700000000006,494
1993-02-16,-0.005796,-0.0047051,-0.0010908999999999997,-0.0030908999999999997,494
1993-02-17,0.0101965,-0.0061655,0.016362,0.014362000000000002,494
1993-02-18,0.0072715,0.0117172,-0.0044457,-0.0064457,494
1993-02-19,-0.0072328,0.0061405,-0.013373300000000001,-0.015373300000000001,494
1993-02-22,-0.0031167,-0.021419100000000003,0.018302400000000003,0.0163024,494
1993-02-23,0.0264544,0.004012799999999999,0.0224416,0.020441599999999997,494
1993-02-24,0.00935,-0.007016700000000001,0.0163667,0.014366700000000001,494
1993-02-25,0.013678,-0.0012276000000000001,0.0149056,0.0129056,494
1993-02-26,-0.0082532,-0.014638199999999999,0.006384999999999998,0.004384999999999998,494
1993-03-01,0.0130834,0.005430399999999999,0.007653000000000001,0.005653000000000001,494
1993-03-02,0.0090145,0.013068799999999997,-0.004054299999999997,-0.006054299999999997,494
1993-03-03,0.0026972000000000003,-0.009051,0.0117482,0.0097482,494
1993-03-04,0.006662399999999999,-0.0140105,0.0206729,0.0186729,494
1993-03-05,0.012710799999999998,-0.00023400000000000078,0.0129448,0.0109448,494
1993-03-08,0.0205549,-0.0002641000000000008,0.020819,0.018819000000000002,493
1993-03-09,-0.0069434,0.0082983,-0.0152417,-0.0172417,493
1993-03-10,0.00014840000000000008,-0.0033031,0.0034514999999999997,0.0014514999999999997,493
1993-03-11,-0.0026046000000000003,-0.0037906999999999997,0.0011860999999999994,-0.0008139000000000006,493
1993-03-12,0.0193769,0.015481199999999997,0.003895700000000002,0.001895700000000002,493
1993-03-15,0.0023003,-0.0078962,0.0101965,0.0081965,493
1993-03-16,-0.0025889000000000003,-0.023162499999999996,0.020573599999999994,0.018573599999999996,493
1993-03-17,0.0068771,0.006776599999999999,0.00010050000000000076,-0.0018994999999999993,493
1993-03-18,-0.011453699999999999,-0.0077562,-0.0036974999999999985,-0.005697499999999999,493
1993-03-19,-0.0007119999999999994,-0.0095494,0.0088374,0.0068374,493
1993-03-22,-0.0020803,-0.0069411,0.0048608,0.0028608,493
1993-03-23,0.002208999999999999,-0.0007072999999999999,0.0029162999999999993,0.0009162999999999992,493
1993-03-24,0.013793900000000001,0.0014128,0.0123811,0.0103811,493
1993-03-25,0.006097099999999999,-0.0060126,0.0121097,0.0101097,493
1993-03-26,-0.0027605,4.899999999999349e-06,-0.0027653999999999995,-0.0047653999999999995,493
1993-03-29,-0.0030043999999999987,0.006293699999999999,-0.009298099999999998,-0.011298099999999998,493
1993-03-30,0.0108388,0.005246400000000001,0.0055924,0.0035924,493
1993-03-31,-0.0025183000000000002,-0.010619199999999999,0.008100899999999998,0.006100899999999998,493
1993-04-01,-0.0204896,-0.0258914,0.005401799999999998,0.0034017999999999982,493
1993-04-02,0.0020624000000000003,-0.0106826,0.012745000000000001,0.010745000000000001,493
1993-04-05,0.0124686,-0.0054873,0.0179559,0.015955900000000002,494
1993-04-06,0.0168606,0.0026179000000000007,0.014242699999999999,0.012242699999999999,494
1993-04-07,0.0001987000000000006,-0.0170262,0.017224899999999998,0.015224899999999998,494
1993-04-08,0.013421800000000001,0.0112501,0.0021717000000000004,0.00017170000000000032,494
1993-04-12,0.006216200000000001,0.007681199999999999,-0.0014649999999999984,-0.0034649999999999985,494
1993-04-13,0.016412500000000003,-0.005397099999999999,0.021809600000000002,0.019809600000000004,494
1993-04-14,-0.0041938,-0.0103526,0.0061588,0.0041588,494
