date,long_ret,short_ret,raw_ret,net_ret,n_stocks
1993-04-01,-0.0665195,-0.0016446999999999,-0.0648748,-0.0668748,500
1993-04-02,0.0024704,-0.0120491,0.0145195,0.0125195,500
1993-04-05,-0.0149951,-0.0027078,-0.0122873,-0.0142873,500
1993-04-06,0.0075740999999999,0.0142788999999999,-0.0067047999999999,-0.0087047999999999,500
1993-04-07,-0.0189049,-0.0113709,-0.0075339999999999,-0.0095339999999999,500
1993-04-08,0.051377,0.0184236999999999,0.0329533,0.030953299999999996,500
1993-04-12,0.0067984999999999,-0.0104441999999999,0.0172427,0.0152427,500
1993-04-13,0.0150443999999999,-0.0169201,0.0319644999999999,0.0299644999999999,500
1993-04-14,0.0176951,-0.0068576,0.0245527,0.022552700000000002,500
1993-04-15,0.0065423,-0.0016649,0.0082072,0.0062071999999999995,500
1993-04-16,-0.0012724999999999,-0.0056672,0.0043947,0.0023946999999999996,500
1993-04-19,0.0037986,-0.0063647999999999,0.0101634,0.0081634,500
1993-04-20,-0.0047635999999999,-0.0052058,0.0004422,-0.0015578,500
1993-04-21,-0.0023273999999999,-0.0066486999999999,0.0043212999999999,0.0023212999999999004,500
1993-04-22,-0.0034727999999999,-0.0192413,0.0157685,0.013768500000000001,500
1993-04-23,-0.0149555,-0.0069282,-0.0080273,-0.0100273,500
1993-04-26,0.0251824,-0.0053278,0.0305102,0.0285102,500
1993-04-27,0.0148943,0.0053318,0.0095624999999999,0.007562499999999899,500
1993-04-28,0.0145166999999999,0.0065065999999999,0.0080101,0.006010099999999999,500
1993-04-29,0.0354854,-0.0068082,0.0422936,0.0402936,500
1993-04-30,-0.0039828,-0.0078113,0.0038285,0.0018284999999999998,500
1993-05-03,-0.0032214,-0.0098257999999999,0.0066043999999999,0.0046043999999999,500
1993-05-04,0.0129035,-0.0008269,0.0137304,0.0117304,500
1993-05-05,0.0019357,-0.0133538,0.0152895,0.0132895,500
1993-05-06,0.0014827999999999,0.0035575,-0.0020747,-0.0040747000000000005,500
1993-05-07,0.0075868999999999,0.0119767,-0.0043898,-0.0063898,500
1993-05-10,0.003593,0.0064692,-0.0028761999999999,-0.0048761999999999,500
1993-05-11,0.0216542,0.0165913,0.0050628999999999,0.0030628999999998997,500
1993-05-12,-0.0085101999999999,-0.0140583999999999,0.0055482,0.0035481999999999996,500
1993-05-13,0.0159121,-0.0045851,0.0204972,0.0184972,500
1993-05-14,-0.0052600999999999,-0.0126053,0.0073452,0.0053452,500
1993-05-17,0.0134714,0.017524,-0.0040526,-0.0060526,500
