date,k10_raw_ret,k10_net_ret,k50_raw_ret,k50_net_ret,k100_raw_ret,k100_net_ret,k150_raw_ret,k150_net_ret,k200_raw_ret,k200_net_ret
1992-12-17,0.019216700000000003,0.0172167,0.012368539999999997,0.010368539999999997,0.0051224700000000005,0.0031224700000000005,0.0026678066666666663,0.0006678066666666663,0.0014002649999999978,-0.0005997350000000023
1992-12-18,-0.0022012000000000004,-0.0042012,0.0019867799999999996,-1.3220000000000419e-05,0.0035951699999999995,0.0015951699999999995,0.0021087066666666673,0.00010870666666666726,0.0037018700000000003,0.0017018700000000003
1992-12-21,0.0010198000000000004,-0.0009801999999999996,0.0029315400000000007,0.0009315400000000007,-0.0011639600000000003,-0.0031639600000000004,-0.0006009066666666668,-0.002600906666666667,0.0012812600000000002,-0.0007187399999999998
1992-12-22,0.0372246,0.035224599999999995,0.00978332,0.00778332,0.005176519999999999,0.0031765199999999987,0.00343348,0.00143348,0.0027050499999999996,0.0007050499999999996
1992-12-23,-0.0039291,-0.0059291,-0.0008014999999999997,-0.0028014999999999997,-0.0018323900000000006,-0.0038323900000000006,-0.0007213533333333324,-0.0027213533333333324,0.0011742950000000005,-0.0008257049999999995
1992-12-24,0.012094999999999998,0.010094999999999998,0.00852924,0.00652924,0.005672309999999998,0.003672309999999998,0.004682500000000001,0.002682500000000001,0.0029509849999999997,0.0009509849999999997
1992-12-28,0.0036670000000000006,0.0016670000000000005,-0.0002909200000000003,-0.00229092,0.00127875,-0.0007212500000000001,0.0016030600000000003,-0.0003969399999999997,0.0006171249999999997,-0.0013828750000000004
1992-12-29,0.0122044,0.0102044,0.00241114,0.00041113999999999994,0.0024663499999999995,0.0004663499999999995,0.0020771066666666663,7.710666666666628e-05,0.0018036849999999998,-0.0001963150000000003
1992-12-30,-0.0051636,-0.0071636,0.00247904,0.00047904,-0.0010572900000000007,-0.0030572900000000007,-0.0004725866666666665,-0.0024725866666666665,-0.0011136800000000004,-0.0031136800000000006
1992-12-31,0.020242499999999997,0.018242499999999995,0.0004739799999999993,-0.0015260200000000008,0.0034233799999999997,0.0014233799999999997,0.0045738866666666655,0.0025738866666666655,0.00359489,0.0015948899999999998
1993-01-04,0.0129232,0.0109232,0.00105058,-0.0009494200000000001,0.0002565199999999999,-0.0017434800000000002,-0.0020909000000000006,-0.004090900000000001,-0.0019558749999999997,-0.003955874999999999
1993-01-05,-0.0048721,-0.0068721,-0.0008988599999999996,-0.0028988599999999996,-0.0001777499999999991,-0.002177749999999999,-0.00010335333333333276,-0.002103353333333333,-0.0015088850000000006,-0.0035088850000000006
